City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,39.29,87,100,11.5,US,2025-04-12
1,vinh,18.6667,105.6667,66.97,88,100,5.68,VN,2025-04-12
2,stanley,54.868,-1.6985,57.52,61,0,5.75,GB,2025-04-12
3,afaahiti,-17.75,-149.2833,77.47,77,56,2.26,PF,2025-04-12
4,grytviken,-54.2811,-36.5092,45.91,84,63,16.75,GS,2025-04-12
5,anadyr,64.75,177.4833,-3.5,77,0,8.95,RU,2025-04-13
6,jamestown,42.097,-79.2353,42.42,91,100,9.22,US,2025-04-12
7,edinburgh of the seven seas,-37.0676,-12.3116,56.88,65,9,12.57,SH,2025-04-12
8,klyuchi,52.2667,79.1667,60.39,37,100,6.02,RU,2025-04-12
9,port-aux-francais,-49.35,70.2167,43.47,78,86,34.56,TF,2025-04-12
10,kroya,-7.6331,109.2461,78.44,95,82,4.99,ID,2025-04-12
11,nova sintra,14.8667,-24.7167,71.83,79,23,20.4,CV,2025-04-12
12,waitangi,-43.9535,-176.5597,56.82,90,51,1.99,NZ,2025-04-13
13,kuta,-8.7233,115.1723,80.55,94,40,4.61,ID,2025-04-12
14,pisco,-13.7,-76.2167,73.45,68,0,9.22,PE,2025-04-12
15,margaret river,-33.95,115.0667,62.8,78,100,12.93,AU,2025-04-12
16,hamilton,39.1834,-84.5333,59.76,39,75,13.8,US,2025-04-12
17,hammerfest,70.6634,23.6821,27.05,93,75,13.8,NO,2025-04-12
18,thompson,55.7435,-97.8558,28.56,86,100,10.36,CA,2025-04-12
19,wailua homesteads,22.0669,-159.378,77.79,85,40,10.36,US,2025-04-12
20,isafjordur,66.0755,-23.124,32.59,75,54,14.25,IS,2025-04-12
21,bilibino,68.0546,166.4372,6.76,72,100,2.24,RU,2025-04-13
22,blackmans bay,-43.0167,147.3167,53.73,93,78,4.29,AU,2025-04-13
23,ilulissat,69.2167,-51.1,26.62,59,75,4.61,GL,2025-04-12
24,adamstown,-25.066,-130.1015,75.52,66,100,11.88,PN,2025-04-12
25,lebu,-37.6167,-73.65,56.75,70,100,12.64,CL,2025-04-12
26,aoulef,26.9667,1.0833,93.11,8,100,7.07,DZ,2025-04-12
27,vorgashor,67.5833,63.95,11.57,90,100,12.24,RU,2025-04-12
28,avarua,-21.2078,-159.775,82.45,69,40,6.91,CK,2025-04-12
29,vilyuchinsk,52.9306,158.4028,34.07,85,100,9.24,RU,2025-04-13
30,yichang,30.7144,111.2847,54.66,49,100,3.18,CN,2025-04-12
31,ribeira grande,38.5167,-28.7,62.78,77,20,5.75,PT,2025-04-12
32,flin flon,54.7682,-101.865,48.04,61,75,11.5,CA,2025-04-12
33,santa ana,33.7456,-117.8678,76.44,58,0,5.75,US,2025-04-12
34,albany,42.6001,-73.9662,41.81,92,100,3.0,US,2025-04-12
35,christchurch,-43.5333,172.6333,51.94,87,8,10.36,NZ,2025-04-13
36,akureyri,65.6835,-18.0878,42.73,65,75,11.5,IS,2025-04-12
37,lukolela,-1.0605,17.1821,73.62,71,83,1.57,CD,2025-04-12
38,mukalla,14.5425,49.1242,78.85,84,23,9.66,YE,2025-04-12
39,la ronge,55.1001,-105.2842,50.25,50,40,10.36,CA,2025-04-12
40,lobujya,27.95,86.8167,7.3,76,4,3.18,NP,2025-04-12
41,soe,-9.8607,124.284,65.39,94,100,2.68,ID,2025-04-12
42,severo-vostotchnyi bank,39.4112,49.2479,51.69,81,3,7.49,AZ,2025-04-12
43,iqaluit,63.7506,-68.5145,24.53,68,100,9.22,CA,2025-04-12
44,arno,60.1167,18.6333,42.71,62,4,8.79,SE,2025-04-12
45,kupang,-10.1667,123.5833,73.98,100,100,0.0,ID,2025-04-12
46,lazaro cardenas,17.9583,-102.2,84.52,41,2,10.98,MX,2025-04-12
47,la passe,45.5549,-0.8967,55.53,89,100,12.33,FR,2025-04-12
48,invercargill,-46.4,168.35,42.03,94,100,4.0,NZ,2025-04-13
49,vadso,70.0744,29.7487,22.23,68,0,8.01,NO,2025-04-12
50,puerto natales,-51.7236,-72.4875,48.65,46,20,17.27,CL,2025-04-12
51,rio grande,-32.035,-52.0986,74.25,85,100,11.61,BR,2025-04-12
52,punta arenas,-53.15,-70.9167,48.31,46,0,20.71,CL,2025-04-12
53,badger,64.8,-147.5333,36.0,75,0,4.61,US,2025-04-12
54,aberglasslyn,-32.7,151.5333,67.55,95,90,2.71,AU,2025-04-13
55,chinchilla,-26.75,150.6333,62.02,98,2,9.95,AU,2025-04-13
56,port augusta,-32.5,137.7667,70.18,41,0,3.98,AU,2025-04-13
57,sinabang,2.4803,96.3801,80.01,87,100,6.82,ID,2025-04-12
58,kiunga,-6.1219,141.2906,72.05,99,100,1.43,PG,2025-04-13
59,st. john's,47.5649,-52.7093,49.39,30,20,5.75,CA,2025-04-12
60,port mathurin,-19.6833,63.4167,80.78,74,18,20.6,MU,2025-04-12
61,fortuna,40.5982,-124.1573,58.35,67,75,18.41,US,2025-04-12
62,tazovsky,67.4667,78.7,11.8,93,61,9.1,RU,2025-04-12
63,viana do castelo,41.6932,-8.8329,58.32,93,100,8.25,PT,2025-04-12
64,mishkino,55.3389,63.9175,34.77,83,10,8.01,RU,2025-04-12
65,fisterra,42.9049,-9.2629,57.24,89,100,12.62,ES,2025-04-12
66,rusape,-18.5278,32.1284,58.23,93,25,3.31,ZW,2025-04-12
67,whitehorse,60.7161,-135.0538,39.09,45,75,9.22,CA,2025-04-12
68,prabumulih,-3.45,104.25,73.72,100,100,2.77,ID,2025-04-12
69,naxos,37.1056,25.3764,60.3,37,11,15.01,GR,2025-04-12
70,constantia,44.1833,28.65,38.08,80,6,5.77,RO,2025-04-12
71,puerto ayora,-0.7393,-90.3518,82.54,90,49,5.01,EC,2025-04-12
72,nguigmi,14.2495,13.1092,82.11,12,100,12.62,NE,2025-04-12
73,mega,4.05,38.3,63.18,81,100,5.44,ET,2025-04-12
74,kargil,34.5667,76.1,27.97,70,4,3.27,IN,2025-04-12
75,hawaiian paradise park,19.5933,-154.9731,78.31,72,20,1.99,US,2025-04-12
76,genhe,50.7833,121.5167,21.18,61,88,7.18,CN,2025-04-12
77,rabo de peixe,37.8,-25.5833,58.51,77,20,11.5,PT,2025-04-12
78,ryotsu-minato,38.0833,138.4333,51.22,81,100,3.13,JP,2025-04-13
79,kristiansund,63.1115,7.732,43.45,87,75,3.44,NO,2025-04-12
80,port hedland,-20.3167,118.5667,77.05,57,21,6.91,AU,2025-04-12
81,antalaha,-14.9003,50.2788,75.9,91,39,5.53,MG,2025-04-12
82,ushuaia,-54.8,-68.3,38.86,75,75,25.32,AR,2025-04-12
83,west island,-12.1568,96.8225,80.58,94,20,8.05,CC,2025-04-12
84,port lincoln,-34.7333,135.8667,71.56,51,6,9.37,AU,2025-04-13
85,yellowknife,62.456,-114.3525,32.41,89,100,8.05,CA,2025-04-12
86,manakara,-22.1333,48.0167,76.87,91,98,5.59,MG,2025-04-12
87,ubinskoye,55.3068,79.6802,46.38,81,99,10.83,RU,2025-04-12
88,poyarkovo,49.6,128.6833,37.11,92,100,4.7,RU,2025-04-13
89,tadine,-21.55,167.8833,77.43,91,66,11.01,NC,2025-04-13
90,xilin hot,43.9667,116.0333,24.3,53,100,24.79,CN,2025-04-12
91,hermanus,-34.4187,19.2345,58.8,80,100,6.44,ZA,2025-04-12
92,olyokminsk,60.3736,120.4264,16.93,89,95,3.49,RU,2025-04-13
93,saipan,15.1355,145.701,77.7,93,100,3.44,MP,2025-04-13
94,grand-lahou,5.1367,-5.0242,80.73,85,95,8.52,CI,2025-04-12
95,taoudenni,22.6783,-3.9836,96.49,9,100,16.84,ML,2025-04-12
96,urzhar,47.093,81.6294,59.58,22,0,7.76,KZ,2025-04-12
97,port alfred,-33.5906,26.891,63.18,85,100,9.33,ZA,2025-04-12
98,longyearbyen,78.2186,15.6401,8.44,85,75,6.91,SJ,2025-04-12
99,uturoa,-16.7333,-151.4333,81.07,73,100,3.67,PF,2025-04-12
100,kuna,43.4918,-116.4201,58.44,44,0,20.71,US,2025-04-12
101,eyl,7.9803,49.8164,83.57,72,99,11.23,SO,2025-04-12
102,aasiaat,68.7098,-52.8699,17.56,87,100,0.63,GL,2025-04-12
103,nizhniy kuranakh,58.8353,125.4869,-3.08,96,41,3.74,RU,2025-04-13
104,broken hill,-31.95,141.4333,67.35,43,3,6.82,AU,2025-04-13
105,la'ie,21.6477,-157.9253,79.05,75,100,14.07,US,2025-04-12
106,griffith,41.5284,-87.4237,61.95,41,0,9.22,US,2025-04-12
107,huilong,31.8111,121.655,43.95,50,0,12.37,CN,2025-04-12
108,sarkand,45.41,79.9186,61.47,25,25,8.63,KZ,2025-04-12
109,ogulin,45.2661,15.2286,49.39,66,39,5.66,HR,2025-04-12
110,juan griego,11.0817,-63.9655,84.2,61,0,16.31,VE,2025-04-12
111,strelka,58.0728,93.0344,56.19,63,100,11.7,RU,2025-04-12
112,ancud,-41.8697,-73.8203,54.63,87,100,6.98,CL,2025-04-12
113,noumea,-22.2763,166.4572,79.0,99,100,12.01,NC,2025-04-13
114,hotan,37.0997,79.9269,54.16,50,0,4.25,CN,2025-04-12
115,olonkinbyen,70.9221,-8.7187,21.16,87,100,16.06,SJ,2025-04-12
116,acajutla,13.5928,-89.8275,90.45,41,100,8.1,SV,2025-04-12
117,san patricio,28.017,-97.5169,85.95,46,0,15.55,US,2025-04-12
118,san pedro pochutla,15.7333,-96.4667,92.71,32,2,9.44,MX,2025-04-12
119,galliano,29.4422,-90.2992,71.6,40,0,5.75,US,2025-04-12
120,gerash,27.6652,54.1371,78.94,19,12,3.13,IR,2025-04-12
121,fale old settlement,-9.3852,-171.2468,82.87,73,100,8.72,TK,2025-04-13
122,atafu village,-8.5421,-172.5159,81.75,77,100,10.78,TK,2025-04-13
123,hasaki,35.7333,140.8333,55.0,76,100,4.29,JP,2025-04-13
124,banda aceh,5.5577,95.3222,81.45,80,73,4.0,ID,2025-04-12
125,kotel'nikovo,47.6317,43.1461,43.99,87,100,4.16,RU,2025-04-12
126,palmas,-10.2128,-48.3603,85.87,66,20,3.44,BR,2025-04-12
127,magadan,59.5667,150.8,26.04,97,99,2.35,RU,2025-04-13
128,navolato,24.7672,-107.6944,94.55,21,0,14.16,MX,2025-04-12
129,popondetta,-8.7537,148.2534,73.49,96,98,2.66,PG,2025-04-13
130,ghat,24.9647,10.1728,80.17,13,0,4.09,LY,2025-04-12
131,urengoy,65.9667,78.3667,19.0,94,63,8.41,RU,2025-04-12
132,puerto asis,0.5133,-76.5007,85.21,75,38,4.09,CO,2025-04-12
133,east london,-33.0153,27.9116,69.46,75,100,9.95,ZA,2025-04-12
134,adolfo lopez mateos,28.4667,-107.3,78.49,5,0,5.08,MX,2025-04-12
135,tura,25.5198,90.2201,70.23,85,56,4.12,IN,2025-04-12
136,island harbour,50.724,-1.2758,55.74,79,100,4.0,GB,2025-04-12
137,chonchi,-42.6128,-73.8092,55.11,81,100,1.7,CL,2025-04-12
138,mandalgovi,45.7625,106.2708,37.45,63,100,20.33,MN,2025-04-12
139,college,64.8569,-147.8028,36.09,65,20,1.01,US,2025-04-12
140,farrokh shahr,32.2717,50.9801,49.26,71,40,4.61,IR,2025-04-12
141,maraba,-5.3686,-49.1178,89.78,62,40,2.3,BR,2025-04-12
142,labrador city,52.9463,-66.9114,40.91,24,20,9.22,CA,2025-04-12
143,bathurst,-33.4166,149.5806,52.05,94,0,3.0,AU,2025-04-13
144,peskovka,59.0448,52.3606,30.42,97,94,9.19,RU,2025-04-12
145,narayanpet,16.7333,77.5,87.4,18,88,4.52,IN,2025-04-12
146,sabzevar,36.2126,57.6819,69.98,44,90,5.46,IR,2025-04-12
147,al wafrah,28.6392,47.9306,75.09,22,0,16.71,KW,2025-04-12
148,makinsk,52.6292,70.4169,42.33,78,97,7.11,KZ,2025-04-12
149,safford,32.834,-109.7076,89.74,6,0,5.75,US,2025-04-12
150,swakopmund,-22.6833,14.5333,63.12,81,0,6.64,NA,2025-04-12
151,kharp,66.8014,65.8081,17.28,95,99,7.99,RU,2025-04-12
152,crucecita,-28.95,-58.9833,81.59,42,5,10.54,AR,2025-04-12
153,mount gambier,-37.8333,140.7667,67.77,36,2,8.77,AU,2025-04-13
154,terrace,54.5163,-128.6035,46.31,57,75,12.66,CA,2025-04-12
155,sao gabriel da cachoeira,-0.1303,-67.0892,85.8,70,40,5.75,BR,2025-04-12
156,talnakh,69.4865,88.3972,13.66,96,100,6.06,RU,2025-04-12
157,tarnogskiy gorodok,60.4997,43.5761,25.34,80,100,3.58,RU,2025-04-12
158,choyr,46.3611,108.3611,31.21,80,9,13.42,MN,2025-04-12
159,tiksi,71.6872,128.8694,6.01,96,100,3.67,RU,2025-04-13
160,alice springs,-23.7,133.8833,58.55,82,0,3.44,AU,2025-04-13
161,cannonvale,-20.2833,148.7,76.39,82,19,20.42,AU,2025-04-13
162,yei,4.095,30.6779,69.19,90,100,3.33,SS,2025-04-12
163,cole harbour,44.6724,-63.4751,40.96,49,100,14.97,CA,2025-04-12
164,minas de marcona,-15.2119,-75.1103,71.06,54,29,20.24,PE,2025-04-12
165,omutinskiy,56.4745,67.6709,35.26,82,33,5.86,RU,2025-04-12
166,saint-leu,-21.15,55.2833,77.86,82,41,3.27,RE,2025-04-12
167,vallegrande,-18.4897,-64.1069,64.38,80,90,6.33,BO,2025-04-12
168,bima,-8.4667,118.7167,74.59,95,100,3.24,ID,2025-04-12
169,el galpon,-25.3807,-64.6526,71.31,72,99,9.01,AR,2025-04-12
170,barah,13.7,30.3667,76.28,10,79,11.07,SD,2025-04-12
171,queenstown,-31.8976,26.8753,58.53,66,100,4.05,ZA,2025-04-12
172,sitka,57.0531,-135.33,42.69,75,100,4.59,US,2025-04-12
173,tena,-0.9833,-77.8167,77.83,89,84,1.5,EC,2025-04-12
174,mahebourg,-20.4081,57.7,82.69,83,40,10.36,MU,2025-04-12
175,papatowai,-46.5619,169.4708,50.74,89,100,4.94,NZ,2025-04-13
176,esquina,-30.0144,-59.5272,76.51,60,98,3.94,AR,2025-04-12
177,utrik,11.2278,169.8474,80.28,80,10,20.58,MH,2025-04-13
178,viiala,61.2102,23.7674,35.2,75,11,6.44,FI,2025-04-12
179,bria,6.5423,21.9863,76.01,72,66,4.59,CF,2025-04-12
180,wenshui,28.4506,106.5267,48.33,69,100,0.72,CN,2025-04-12
181,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,69,20,6.71,RU,2025-04-13
182,naryshkino,52.9678,35.7268,37.18,79,100,7.25,RU,2025-04-12
183,sortavala,61.7053,30.6918,35.01,82,18,10.18,RU,2025-04-12
184,trapani,37.8333,12.6667,60.35,77,20,10.36,IT,2025-04-12
185,kingston,17.997,-76.7936,83.35,74,40,8.05,JM,2025-04-12
186,acarau,-2.8856,-40.12,81.19,79,62,8.46,BR,2025-04-12
187,san antonio de pale,-1.4014,5.6325,82.0,75,26,13.38,GQ,2025-04-12
188,port elizabeth,-33.918,25.5701,65.32,90,0,8.99,ZA,2025-04-12
189,hanzhong,33.0728,107.0303,49.62,31,80,2.3,CN,2025-04-12
190,penzance,50.1186,-5.5371,52.75,88,83,17.07,GB,2025-04-12
191,ust-nera,64.5667,143.2,22.19,95,100,4.09,RU,2025-04-13
192,lihue,21.9789,-159.3672,78.39,73,40,10.36,US,2025-04-12
193,kodiak,57.79,-152.4072,35.11,93,100,34.52,US,2025-04-12
194,westport,41.1415,-73.3579,41.27,86,100,17.27,US,2025-04-12
195,plouzane,48.3833,-4.6167,53.89,84,75,11.5,FR,2025-04-12
196,selfoss,63.9331,-20.9971,40.03,54,100,18.95,IS,2025-04-12
